region,week,pango,who,variant,pct,pct_ci_lo,pct_ci_hi
1,2021-07-03,B.1.621,Mu,Other,14.3,9.9,19.8
1,2021-07-03,B.1.621.1,NA,Other,6.7,3.1,13.8
1,2021-07-03,B.1.626,NA,Other,0.8,0,14.1
1,2021-07-03,B.1.628,NA,Other,1.3,0.1,5.7
1,2021-07-03,B.1.637,NA,Other,3.9,1.1,9.4
1,2021-07-03,BA.1.1,Omicron,BA.1,0,NA,NA
1,2021-07-03,BA.2,Omicron,BA.2,0,NA,NA
1,2021-07-03,BA.2.12.1,Omicron,BA.2.12,0,NA,NA
1,2021-07-03,BA.2.75,Omicron,BA.2.75,0,NA,NA
1,2021-07-03,BA.2.75.2,Omicron,BA.2.75,0,NA,NA
1,2021-07-03,BA.4,Omicron,BA.4,0,NA,NA
1,2021-07-03,BA.4.6,Omicron,Other,0,NA,NA
1,2021-07-03,BA.5,Omicron,BA.5,0,NA,NA
1,2021-07-03,BA.5.2.6,Omicron,BA.5,0,NA,NA
1,2021-07-03,BF.11,NA,Other,0,NA,NA
1,2021-07-03,BF.7,NA,Other,0,NA,NA
1,2021-07-03,BN.1,NA,Other,0,NA,NA
1,2021-07-03,BQ.1,Omicron,Other,0,NA,NA
1,2021-07-03,BQ.1.1,Omicron,Other,0,NA,NA
1,2021-07-03,Other,NA,Other,48.5,40.9,56.2
1,2021-07-03,P.1,Gamma,Other,6.2,3.2,10.6
1,2021-07-03,XBB,Omicron,Other,0,NA,NA
1,2021-07-03,XBB.1.5,Omicron,Other,0,NA,NA
1,2021-07-10,A.2.5,NA,Other,0,NA,NA
1,2021-07-10,AY.1,Delta,Delta,0,NA,NA
1,2021-07-10,AY.2,Delta,Delta,0,NA,NA
1,2021-07-10,AY.3,Delta,Delta,6.2,3.7,10.1
1,2021-07-10,B.1.1.194,NA,Other,0,NA,NA
1,2021-07-10,B.1.1.529,NA,BA.1,0,NA,NA
1,2021-07-10,B.1.1.7,Alpha,Other,3,1.3,5.7
1,2021-07-10,B.1.351,Beta,Other,0,NA,NA
1,2021-07-10,B.1.427,Epsilon,Other,0,NA,NA
1,2021-07-10,B.1.429,Epsilon,Other,0,NA,NA
1,2021-07-10,B.1.525,Eta,Other,0,NA,NA
1,2021-07-10,B.1.526,Iota,Other,2.1,0.4,6.6
1,2021-07-10,B.1.617.1,Kappa,Other,0,NA,NA
1,2021-07-10,B.1.617.2,Delta,Delta,78.2,71.4,84
1,2021-07-10,B.1.617.3,NA,Other,0,NA,NA
1,2021-07-10,B.1.621,Mu,Other,11,5.4,19.4
1,2021-07-10,B.1.621.1,NA,Other,8.8,1.2,44.4
1,2021-07-10,B.1.626,NA,Other,0,NA,NA
1,2021-07-10,B.1.628,NA,Other,0,NA,NA
1,2021-07-10,B.1.637,NA,Other,0.6,0,4.1
1,2021-07-10,BA.1.1,Omicron,BA.1,0,NA,NA
1,2021-07-10,BA.2,Omicron,BA.2,0,NA,NA
1,2021-07-10,BA.2.12.1,Omicron,BA.2.12,0,NA,NA
1,2021-07-10,BA.2.75,Omicron,BA.2.75,0,NA,NA
1,2021-07-10,BA.2.75.2,Omicron,BA.2.75,0,NA,NA
1,2021-07-10,BA.4,Omicron,BA.4,0,NA,NA
1,2021-07-10,BA.4.6,Omicron,Other,0,NA,NA
1,2021-07-10,BA.5,Omicron,BA.5,0,NA,NA
1,2021-07-10,BA.5.2.6,Omicron,BA.5,0,NA,NA
1,2021-07-10,BF.11,NA,Other,0,NA,NA
1,2021-07-10,BF.7,NA,Other,0,NA,NA
1,2021-07-10,BN.1,NA,Other,0,NA,NA
1,2021-07-10,BQ.1,Omicron,Other,0,NA,NA
1,2021-07-10,BQ.1.1,Omicron,Other,0,NA,NA
1,2021-07-10,Other,NA,Other,21.8,16,28.6
1,2021-07-10,P.1,Gamma,Other,2.2,0.7,5.1
1,2021-07-10,XBB,Omicron,Other,0,NA,NA
1,2021-07-10,XBB.1.5,Omicron,Other,0,NA,NA
1,2021-07-17,A.2.5,NA,Other,0.4,0.1,2
1,2021-07-17,AY.1,Delta,Delta,0,NA,NA
1,2021-07-17,AY.2,Delta,Delta,0,NA,NA
1,2021-07-17,AY.3,Delta,Delta,11.9,5.9,22.3
1,2021-07-17,B.1.1.194,NA,Other,0,NA,NA
1,2021-07-17,B.1.1.529,NA,BA.1,0,NA,NA
1,2021-07-17,B.1.1.7,Alpha,Other,2.3,1.1,4.3
1,2021-07-17,B.1.351,Beta,Other,0,NA,NA
1,2021-07-17,B.1.427,Epsilon,Other,0,NA,NA
1,2021-07-17,B.1.429,Epsilon,Other,0,NA,NA
1,2021-07-17,B.1.525,Eta,Other,0,NA,NA
1,2021-07-17,B.1.526,Iota,Other,0.1,0,0.7
1,2021-07-17,B.1.617.1,Kappa,Other,0,NA,NA
1,2021-07-17,B.1.617.2,Delta,Delta,91.9,88.6,94.5
1,2021-07-17,B.1.617.3,NA,Other,0,NA,NA
1,2021-07-17,B.1.621,Mu,Other,1.3,0.5,2.5
1,2021-07-17,B.1.621.1,NA,Other,1.2,0.1,10
1,2021-07-17,B.1.626,NA,Other,0,NA,NA
1,2021-07-17,B.1.628,NA,Other,0.1,0,0.7
1,2021-07-17,B.1.637,NA,Other,0.8,0.1,3.6
1,2021-07-17,BA.1.1,Omicron,BA.1,0,NA,NA
1,2021-07-17,BA.2,Omicron,BA.2,0,NA,NA
1,2021-07-17,BA.2.12.1,Omicron,BA.2.12,0,NA,NA
1,2021-07-17,BA.2.75,Omicron,BA.2.75,0,NA,NA
1,2021-07-17,BA.2.75.2,Omicron,BA.2.75,0,NA,NA
1,2021-07-17,BA.4,Omicron,BA.4,0,NA,NA
1,2021-07-17,BA.4.6,Omicron,Other,0,NA,NA
1,2021-07-17,BA.5,Omicron,BA.5,0,NA,NA
1,2021-07-17,BA.5.2.6,Omicron,BA.5,0,NA,NA
1,2021-07-17,BF.11,NA,Other,0,NA,NA
1,2021-07-17,BF.7,NA,Other,0,NA,NA
1,2021-07-17,BN.1,NA,Other,0,NA,NA
1,2021-07-17,BQ.1,Omicron,Other,0,NA,NA
1,2021-07-17,BQ.1.1,Omicron,Other,0,NA,NA
1,2021-07-17,Other,NA,Other,8.1,5.5,11.4
1,2021-07-17,P.1,Gamma,Other,1,0.2,2.9
1,2021-07-17,XBB,Omicron,Other,0,NA,NA
1,2021-07-17,XBB.1.5,Omicron,Other,0,NA,NA
1,2021-07-24,A.2.5,NA,Other,0,NA,NA
1,2021-07-24,AY.1,Delta,Delta,0,NA,NA
1,2021-07-24,AY.2,Delta,Delta,0,NA,NA
1,2021-07-24,AY.3,Delta,Delta,8.8,6.9,11.1
1,2021-07-24,B.1.1.194,NA,Other,0,NA,NA
1,2021-07-24,B.1.1.529,NA,BA.1,0,NA,NA
1,2021-07-24,B.1.1.7,Alpha,Other,1.5,0.1,5.7
1,2021-07-24,B.1.351,Beta,Other,0,NA,NA
1,2021-07-24,B.1.427,Epsilon,Other,0,NA,NA
1,2021-07-24,B.1.429,Epsilon,Other,0,NA,NA
1,2021-07-24,B.1.525,Eta,Other,0,NA,NA
1,2021-07-24,B.1.526,Iota,Other,0.1,0,0.7
1,2021-07-24,B.1.617.1,Kappa,Other,0,NA,NA
1,2021-07-24,B.1.617.2,Delta,Delta,95.5,93.2,97.2
1,2021-07-24,B.1.617.3,NA,Other,0,NA,NA
1,2021-07-24,B.1.621,Mu,Other,1.4,0.7,2.4
1,2021-07-24,B.1.621.1,NA,Other,0.3,0.1,1.1
1,2021-07-24,B.1.626,NA,Other,0.1,0,0.8
1,2021-07-24,B.1.628,NA,Other,0.6,0.1,1.9
1,2021-07-24,B.1.637,NA,Other,0,NA,NA
1,2021-07-24,BA.1.1,Omicron,BA.1,0,NA,NA
1,2021-07-24,BA.2,Omicron,BA.2,0,NA,NA
1,2021-07-24,BA.2.12.1,Omicron,BA.2.12,0,NA,NA
1,2021-07-24,BA.2.75,Omicron,BA.2.75,0,NA,NA
1,2021-07-24,BA.2.75.2,Omicron,BA.2.75,0,NA,NA
1,2021-07-24,BA.4,Omicron,BA.4,0,NA,NA
1,2021-07-24,BA.4.6,Omicron,Other,0,NA,NA
1,2021-07-24,BA.5,Omicron,BA.5,0,NA,NA
1,2021-07-24,BA.5.2.6,Omicron,BA.5,0,NA,NA
1,2021-07-24,BF.11,NA,Other,0,NA,NA
1,2021-07-24,BF.7,NA,Other,0,NA,NA
1,2021-07-24,BN.1,NA,Other,0,NA,NA
1,2021-07-24,BQ.1,Omicron,Other,0,NA,NA
1,2021-07-24,BQ.1.1,Omicron,Other,0,NA,NA
1,2021-07-24,Other,NA,Other,4.5,2.8,6.8
1,2021-07-24,P.1,Gamma,Other,0.7,0.2,1.8
1,2021-07-24,XBB,Omicron,Other,0,NA,NA
1,2021-07-24,XBB.1.5,Omicron,Other,0,NA,NA
1,2021-07-31,A.2.5,NA,Other,0,NA,NA
1,2021-07-31,AY.1,Delta,Delta,0,0,0.2
1,2021-07-31,AY.2,Delta,Delta,0.2,0,1
1,2021-07-31,AY.3,Delta,Delta,10.9,7,16.6
1,2021-07-31,B.1.1.194,NA,Other,0.2,0.1,0.8
1,2021-07-31,B.1.1.529,NA,BA.1,0,NA,NA
1,2021-07-31,B.1.1.7,Alpha,Other,0.7,0.1,2.4
1,2021-07-31,B.1.351,Beta,Other,0,NA,NA
1,2021-07-31,B.1.525,Eta,Other,0,NA,NA
1,2021-07-31,B.1.526,Iota,Other,0,0,0.2
1,2021-07-31,B.1.617.1,Kappa,Other,0,NA,NA
1,2021-07-31,B.1.617.2,Delta,Delta,95.6,93.6,97.1
1,2021-07-31,B.1.617.3,NA,Other,0,NA,NA
1,2021-07-31,B.1.621,Mu,Other,1.4,0.8,2.3
1,2021-07-31,B.1.621.1,NA,Other,0.5,0.1,2.1
1,2021-07-31,B.1.626,NA,Other,0,0,0.2
1,2021-07-31,B.1.628,NA,Other,0.4,0.1,0.9
1,2021-07-31,B.1.637,NA,Other,0,NA,NA
1,2021-07-31,BA.1.1,Omicron,BA.1,0,NA,NA
1,2021-07-31,BA.2,Omicron,BA.2,0,NA,NA
1,2021-07-31,BA.2.12.1,Omicron,BA.2.12,0,NA,NA
1,2021-07-31,BA.2.75,Omicron,BA.2.75,0,NA,NA
1,2021-07-31,BA.2.75.2,Omicron,BA.2.75,0,NA,NA
1,2021-07-31,BA.4,Omicron,BA.4,0,NA,NA
1,2021-07-31,BA.4.6,Omicron,Other,0,NA,NA
1,2021-07-31,BA.5,Omicron,BA.5,0,NA,NA
1,2021-07-31,BA.5.2.6,Omicron,BA.5,0,NA,NA
1,2021-07-31,BF.11,NA,Other,0,NA,NA
1,2021-07-31,BF.7,NA,Other,0,NA,NA
1,2021-07-31,BN.1,NA,Other,0,NA,NA
1,2021-07-31,BQ.1,Omicron,Other,0,NA,NA
1,2021-07-31,BQ.1.1,Omicron,Other,0,NA,NA
1,2021-07-31,Other,NA,Other,4.4,2.9,6.4
1,2021-07-31,P.1,Gamma,Other,1,0.5,1.8
1,2021-07-31,XBB,Omicron,Other,0,NA,NA
1,2021-07-31,XBB.1.5,Omicron,Other,0,NA,NA
1,2021-08-07,AY.1,Delta,Delta,0,0,0.2
1,2021-08-07,AY.2,Delta,Delta,0.1,0,0.8
1,2021-08-07,B.1.1.194,NA,Other,0.1,0,0.7
1,2021-08-07,B.1.1.529,NA,BA.1,0,NA,NA
1,2021-08-07,B.1.1.7,Alpha,Other,0.2,0,0.8
1,2021-08-07,B.1.351,Beta,Other,0,NA,NA
1,2021-08-07,B.1.525,Eta,Other,0,NA,NA
1,2021-08-07,B.1.526,Iota,Other,0.1,0,0.4
1,2021-08-07,B.1.617.1,Kappa,Other,0,NA,NA
1,2021-08-07,B.1.617.2,Delta,Delta,97.9,96.8,98.7
1,2021-08-07,B.1.617.3,NA,Other,0,NA,NA
1,2021-08-07,B.1.621,Mu,Other,0.4,0.1,0.9
1,2021-08-07,B.1.621.1,NA,Other,0.1,0,0.3
1,2021-08-07,B.1.628,NA,Other,0.2,0.1,0.5
1,2021-08-07,B.1.637,NA,Other,0,0,0.2
1,2021-08-07,BA.1.1,Omicron,BA.1,0,NA,NA
1,2021-08-07,BA.2,Omicron,BA.2,0,NA,NA
1,2021-08-07,BA.2.12.1,Omicron,BA.2.12,0,NA,NA
1,2021-08-07,BA.2.75,Omicron,BA.2.75,0,NA,NA
1,2021-08-07,BA.2.75.2,Omicron,BA.2.75,0,NA,NA
1,2021-08-07,BA.4,Omicron,BA.4,0,NA,NA
1,2021-08-07,BA.4.6,Omicron,Other,0,NA,NA
1,2021-08-07,BA.5,Omicron,BA.5,0,NA,NA
1,2021-08-07,BA.5.2.6,Omicron,BA.5,0,NA,NA
1,2021-08-07,BF.11,NA,Other,0,NA,NA
1,2021-08-07,BF.7,NA,Other,0,NA,NA
1,2021-08-07,BN.1,NA,Other,0,NA,NA
1,2021-08-07,BQ.1,Omicron,Other,0,NA,NA
1,2021-08-07,BQ.1.1,Omicron,Other,0,NA,NA
1,2021-08-07,Other,NA,Other,2.1,1.3,3.2
1,2021-08-07,P.1,Gamma,Other,0.6,0.2,1.2
1,2021-08-07,XBB,Omicron,Other,0,NA,NA
1,2021-08-07,XBB.1.5,Omicron,Other,0,NA,NA
1,2021-08-14,AY.1,Delta,Delta,0.1,0,0.5
1,2021-08-14,AY.2,Delta,Delta,0,0,0.2
1,2021-08-14,B.1.1.194,NA,Other,0,0,0.1
1,2021-08-14,B.1.1.529,NA,BA.1,0,NA,NA
1,2021-08-14,B.1.1.7,Alpha,Other,0.1,0,0.5
1,2021-08-14,B.1.351,Beta,Other,0,NA,NA
1,2021-08-14,B.1.525,Eta,Other,0,NA,NA
1,2021-08-14,B.1.526,Iota,Other,0,0,0.2
1,2021-08-14,B.1.617.1,Kappa,Other,0,NA,NA
1,2021-08-14,B.1.617.2,Delta,Delta,98.7,98,99.2
1,2021-08-14,B.1.617.3,NA,Other,0,NA,NA
1,2021-08-14,B.1.621,Mu,Other,0.2,0,0.5
1,2021-08-14,B.1.621.1,NA,Other,0,NA,NA
1,2021-08-14,B.1.628,NA,Other,0.1,0,0.3
1,2021-08-14,B.1.637,NA,Other,0,0,0.2
1,2021-08-14,BA.1.1,Omicron,BA.1,0,NA,NA
1,2021-08-14,BA.2,Omicron,BA.2,0,NA,NA
1,2021-08-14,BA.2.12.1,Omicron,BA.2.12,0,NA,NA
1,2021-08-14,BA.2.75,Omicron,BA.2.75,0,NA,NA
1,2021-08-14,BA.2.75.2,Omicron,BA.2.75,0,NA,NA
1,2021-08-14,BA.4,Omicron,BA.4,0,NA,NA
1,2021-08-14,BA.4.6,Omicron,Other,0,NA,NA
1,2021-08-14,BA.5,Omicron,BA.5,0,NA,NA
1,2021-08-14,BA.5.2.6,Omicron,BA.5,0,NA,NA
1,2021-08-14,BF.11,NA,Other,0,NA,NA
1,2021-08-14,BF.7,NA,Other,0,NA,NA
1,2021-08-14,BN.1,NA,Other,0,NA,NA
1,2021-08-14,BQ.1,Omicron,Other,0,NA,NA
1,2021-08-14,BQ.1.1,Omicron,Other,0,NA,NA
1,2021-08-14,Other,NA,Other,1.3,0.8,2
1,2021-08-14,P.1,Gamma,Other,0.1,0,0.4
1,2021-08-14,XBB,Omicron,Other,0,NA,NA
1,2021-08-14,XBB.1.5,Omicron,Other,0,NA,NA
1,2021-08-21,AY.1,Delta,Delta,0,0,0.1
1,2021-08-21,AY.2,Delta,Delta,0.1,0,0.3
1,2021-08-21,B.1.1.194,NA,Other,0,0,0.3
1,2021-08-21,B.1.1.529,NA,BA.1,0,NA,NA
1,2021-08-21,B.1.1.7,Alpha,Other,0.1,0,0.3
1,2021-08-21,B.1.351,Beta,Other,0,NA,NA
1,2021-08-21,B.1.525,Eta,Other,0,NA,NA
1,2021-08-21,B.1.526,Iota,Other,0.2,0,1
1,2021-08-21,B.1.617.1,Kappa,Other,0,NA,NA
1,2021-08-21,B.1.617.2,Delta,Delta,98.6,97.6,99.3
1,2021-08-21,B.1.617.3,NA,Other,0,NA,NA
1,2021-08-21,B.1.621,Mu,Other,0.3,0.2,0.6
1,2021-08-21,B.1.621.1,NA,Other,0.1,0,0.4
1,2021-08-21,B.1.628,NA,Other,0.1,0,0.5
1,2021-08-21,B.1.637,NA,Other,0,NA,NA
1,2021-08-21,BA.1.1,Omicron,BA.1,0,NA,NA
1,2021-08-21,BA.2,Omicron,BA.2,0,NA,NA
1,2021-08-21,BA.2.12.1,Omicron,BA.2.12,0,NA,NA
1,2021-08-21,BA.2.75,Omicron,BA.2.75,0,NA,NA
1,2021-08-21,BA.2.75.2,Omicron,BA.2.75,0,NA,NA
1,2021-08-21,BA.4,Omicron,BA.4,0,NA,NA
1,2021-08-21,BA.4.6,Omicron,Other,0,NA,NA
1,2021-08-21,BA.5,Omicron,BA.5,0,NA,NA
1,2021-08-21,BA.5.2.6,Omicron,BA.5,0,NA,NA
1,2021-08-21,BF.11,NA,Other,0,NA,NA
1,2021-08-21,BF.7,NA,Other,0,NA,NA
1,2021-08-21,BN.1,NA,Other,0,NA,NA
1,2021-08-21,BQ.1,Omicron,Other,0,NA,NA
1,2021-08-21,BQ.1.1,Omicron,Other,0,NA,NA
1,2021-08-21,Other,NA,Other,1.4,0.7,2.4
1,2021-08-21,P.1,Gamma,Other,0.1,0,0.3
1,2021-08-21,XBB,Omicron,Other,0,NA,NA
1,2021-08-21,XBB.1.5,Omicron,Other,0,NA,NA
1,2021-08-28,AY.1,Delta,Delta,0,NA,NA
1,2021-08-28,AY.2,Delta,Delta,0,0,0.2
1,2021-08-28,B.1.1.194,NA,Other,0.2,0,1.9
1,2021-08-28,B.1.1.529,NA,BA.1,0,NA,NA
1,2021-08-28,B.1.1.7,Alpha,Other,0.2,0,0.7
1,2021-08-28,B.1.351,Beta,Other,0,NA,NA
1,2021-08-28,B.1.525,Eta,Other,0,NA,NA
1,2021-08-28,B.1.526,Iota,Other,0,NA,NA
1,2021-08-28,B.1.617.1,Kappa,Other,0,NA,NA
1,2021-08-28,B.1.617.2,Delta,Delta,99,97.6,99.7
1,2021-08-28,B.1.617.3,NA,Other,0,NA,NA
1,2021-08-28,B.1.621,Mu,Other,0.3,0.1,0.6
1,2021-08-28,B.1.628,NA,Other,0,NA,NA
1,2021-08-28,B.1.637,NA,Other,0,NA,NA
1,2021-08-28,BA.1.1,Omicron,BA.1,0,NA,NA
1,2021-08-28,BA.2,Omicron,BA.2,0,NA,NA
1,2021-08-28,BA.2.12.1,Omicron,BA.2.12,0,NA,NA
1,2021-08-28,BA.2.75,Omicron,BA.2.75,0,NA,NA
1,2021-08-28,BA.2.75.2,Omicron,BA.2.75,0,NA,NA
1,2021-08-28,BA.4,Omicron,BA.4,0,NA,NA
1,2021-08-28,BA.4.6,Omicron,Other,0,NA,NA
1,2021-08-28,BA.5,Omicron,BA.5,0,NA,NA
1,2021-08-28,BA.5.2.6,Omicron,BA.5,0,NA,NA
1,2021-08-28,BF.11,NA,Other,0,NA,NA
1,2021-08-28,BF.7,NA,Other,0,NA,NA
1,2021-08-28,BN.1,NA,Other,0,NA,NA
1,2021-08-28,BQ.1,Omicron,Other,0,NA,NA
1,2021-08-28,BQ.1.1,Omicron,Other,0,NA,NA
1,2021-08-28,Other,NA,Other,1,0.3,2.4
1,2021-08-28,P.1,Gamma,Other,0,0,0.1
1,2021-08-28,XBB,Omicron,Other,0,NA,NA
1,2021-08-28,XBB.1.5,Omicron,Other,0,NA,NA
1,2021-09-04,AY.1,Delta,Delta,0.1,0,0.5
1,2021-09-04,AY.2,Delta,Delta,0.1,0,0.5
1,2021-09-04,B.1.1.194,NA,Other,0,NA,NA
1,2021-09-04,B.1.1.529,NA,BA.1,0,NA,NA
1,2021-09-04,B.1.1.7,Alpha,Other,0,NA,NA
1,2021-09-04,B.1.351,Beta,Other,0,NA,NA
1,2021-09-04,B.1.525,Eta,Other,0,NA,NA
1,2021-09-04,B.1.526,Iota,Other,0,NA,NA
1,2021-09-04,B.1.617.1,Kappa,Other,0,NA,NA
1,2021-09-04,B.1.617.2,Delta,Delta,99.6,99.1,99.8
1,2021-09-04,B.1.617.3,NA,Other,0,NA,NA
1,2021-09-04,B.1.621,Mu,Other,0,0,0.1
1,2021-09-04,B.1.628,NA,Other,0,NA,NA
1,2021-09-04,B.1.637,NA,Other,0,NA,NA
1,2021-09-04,BA.1.1,Omicron,BA.1,0,NA,NA
1,2021-09-04,BA.2,Omicron,BA.2,0,NA,NA
1,2021-09-04,BA.2.12.1,Omicron,BA.2.12,0,NA,NA
1,2021-09-04,BA.2.75,Omicron,BA.2.75,0,NA,NA
1,2021-09-04,BA.2.75.2,Omicron,BA.2.75,0,NA,NA
1,2021-09-04,BA.4,Omicron,BA.4,0,NA,NA
1,2021-09-04,BA.4.6,Omicron,Other,0,NA,NA
1,2021-09-04,BA.5,Omicron,BA.5,0,NA,NA
1,2021-09-04,BA.5.2.6,Omicron,BA.5,0,NA,NA
1,2021-09-04,BF.11,NA,Other,0,NA,NA
1,2021-09-04,BF.7,NA,Other,0,NA,NA
1,2021-09-04,BN.1,NA,Other,0,NA,NA
1,2021-09-04,BQ.1,Omicron,Other,0,NA,NA
1,2021-09-04,BQ.1.1,Omicron,Other,0,NA,NA
1,2021-09-04,Other,NA,Other,0.4,0.2,0.9
1,2021-09-04,P.1,Gamma,Other,0,0,0.1
1,2021-09-04,XBB,Omicron,Other,0,NA,NA
1,2021-09-04,XBB.1.5,Omicron,Other,0,NA,NA
1,2021-09-11,AY.1,Delta,Delta,0,NA,NA
1,2021-09-11,AY.2,Delta,Delta,0,NA,NA
1,2021-09-11,B.1.1.529,NA,BA.1,0,NA,NA
1,2021-09-11,B.1.1.7,Alpha,Other,0,NA,NA
1,2021-09-11,B.1.351,Beta,Other,0,NA,NA
1,2021-09-11,B.1.526,Iota,Other,0,NA,NA
1,2021-09-11,B.1.617.1,Kappa,Other,0,NA,NA
1,2021-09-11,B.1.617.2,Delta,Delta,99.8,99.7,99.9
1,2021-09-11,B.1.621,Mu,Other,0,0,0.2
1,2021-09-11,B.1.628,NA,Other,0,0,0.1
1,2021-09-11,B.1.637,NA,Other,0,NA,NA
1,2021-09-11,BA.1.1,Omicron,BA.1,0,NA,NA
1,2021-09-11,BA.2,Omicron,BA.2,0,NA,NA
1,2021-09-11,BA.2.12.1,Omicron,BA.2.12,0,NA,NA
1,2021-09-11,BA.2.75,Omicron,BA.2.75,0,NA,NA
1,2021-09-11,BA.2.75.2,Omicron,BA.2.75,0,NA,NA
1,2021-09-11,BA.4,Omicron,BA.4,0,NA,NA
1,2021-09-11,BA.4.6,Omicron,Other,0,NA,NA
1,2021-09-11,BA.5,Omicron,BA.5,0,NA,NA
1,2021-09-11,BA.5.2.6,Omicron,BA.5,0,NA,NA
1,2021-09-11,BF.11,NA,Other,0,NA,NA
1,2021-09-11,BF.7,NA,Other,0,NA,NA
1,2021-09-11,BN.1,NA,Other,0,NA,NA
1,2021-09-11,BQ.1,Omicron,Other,0,NA,NA
1,2021-09-11,BQ.1.1,Omicron,Other,0,NA,NA
1,2021-09-11,Other,NA,Other,0.2,0.1,0.3
1,2021-09-11,P.1,Gamma,Other,0,0,0.1
1,2021-09-11,XBB,Omicron,Other,0,NA,NA
1,2021-09-11,XBB.1.5,Omicron,Other,0,NA,NA
1,2021-09-18,AY.1,Delta,Delta,0.1,0,0.6
1,2021-09-18,AY.2,Delta,Delta,0,NA,NA
1,2021-09-18,B.1.1.529,NA,BA.1,0,NA,NA
1,2021-09-18,B.1.1.7,Alpha,Other,0,NA,NA
1,2021-09-18,B.1.351,Beta,Other,0,NA,NA
1,2021-09-18,B.1.526,Iota,Other,0,NA,NA
1,2021-09-18,B.1.617.1,Kappa,Other,0,NA,NA
1,2021-09-18,B.1.617.2,Delta,Delta,99.8,99.5,99.9
1,2021-09-18,B.1.621,Mu,Other,0,NA,NA
1,2021-09-18,B.1.628,NA,Other,0,0,0.2
1,2021-09-18,B.1.637,NA,Other,0,NA,NA
1,2021-09-18,BA.1.1,Omicron,BA.1,0,NA,NA
1,2021-09-18,BA.2,Omicron,BA.2,0,NA,NA
1,2021-09-18,BA.2.12.1,Omicron,BA.2.12,0,NA,NA
1,2021-09-18,BA.2.75,Omicron,BA.2.75,0,NA,NA
